@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 {0,1,2,3,4,5,6}

@data
301,'2017/11/20 19:52:20:970',2,0.440941,0.158188,0.347331,0.019063,3
302,'2017/11/20 19:52:20:990',2,0.439316,0.164729,0.334968,0.0184,3
303,'2017/11/20 19:52:21:010',2,0.437216,0.172639,0.322637,0.017982,3
304,'2017/11/20 19:52:21:030',2,0.434419,0.183761,0.307751,0.017485,3
305,'2017/11/20 19:52:21:050',2,0.432505,0.189862,0.299392,0.017079,3
306,'2017/11/20 19:52:21:070',2,0.431378,0.194368,0.292185,0.016676,3
307,'2017/11/20 19:52:21:090',2,0.430321,0.20636,0.276392,0.014796,3
308,'2017/11/20 19:52:21:110',2,0.429593,0.209184,0.275018,0.013953,3
309,'2017/11/20 19:52:21:130',2,0.428962,0.210996,0.274237,0.013642,3
310,'2017/11/20 19:52:21:150',2,0.429214,0.212771,0.27355,0.013153,3
311,'2017/11/20 19:52:21:170',2,0.429966,0.21428,0.273904,0.012852,3
312,'2017/11/20 19:52:21:190',2,0.431609,0.216052,0.276834,0.012646,3
313,'2017/11/20 19:52:21:210',2,0.43477,0.217102,0.281622,0.012504,3
314,'2017/11/20 19:52:21:230',2,0.441379,0.216933,0.29749,0.012416,3
315,'2017/11/20 19:52:21:250',2,0.446271,0.21655,0.309131,0.012467,3
316,'2017/11/20 19:52:21:270',2,0.451373,0.215922,0.323101,0.012414,3
317,'2017/11/20 19:52:21:290',2,0.457932,0.213207,0.346945,0.012404,3
318,'2017/11/20 19:52:21:310',2,0.462543,0.210076,0.365538,0.012415,3
319,'2017/11/20 19:52:21:330',2,0.466963,0.198093,0.388062,0.011746,3
320,'2017/11/20 19:52:21:350',2,0.474832,0.199723,0.418375,0.011432,3
321,'2017/11/20 19:52:21:370',2,0.479821,0.197713,0.440864,0.011409,3
