@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute outputs-1 {0,1,2,3,4,5,6}

@data
62,'2017/11/20 19:45:15:531',1,0.001774,0.029962,0.022396,0.019656,0.020352,0.029392,0.069669,0.094959,0.063295,0.033673,0.075389,0.114021,0.166483,0.169143,0.073188,0.033672,0.041008,0.037125,0.021139,0.011062,0.003256,0.009655,0.003658,0.001249,0.001586,1
63,'2017/11/20 19:45:15:554',1,0.006099,0.037306,0.02742,0.024156,0.041167,0.038251,0.076197,0.116155,0.116579,0.062861,0.08842,0.119787,0.160848,0.195646,0.096798,0.05896,0.038394,0.042484,0.035667,0.016214,0.006305,0.012891,0.00467,0.001495,0.001521,1
64,'2017/11/20 19:45:15:555',1,0.00855,0.021141,0.031684,0.024713,0.035974,0.050032,0.08517,0.140701,0.081972,0.087267,0.072521,0.087669,0.125353,0.087466,0.065964,0.048795,0.031462,0.036157,0.025786,0.016266,0.0053,0.008616,0.003399,0.001148,0.000716,1
65,'2017/11/20 19:45:15:578',1,0.004786,0.033307,0.048954,0.03477,0.026543,0.042031,0.046616,0.110435,0.059058,0.063434,0.072736,0.091341,0.099392,0.093146,0.058067,0.034458,0.02611,0.029511,0.022029,0.014831,0.004542,0.007196,0.002224,0.001207,0.000784,1
66,'2017/11/20 19:45:15:578',1,0.004834,0.018746,0.03729,0.03203,0.043706,0.0251,0.040988,0.070215,0.043105,0.01482,0.043482,0.079295,0.092566,0.062805,0.039475,0.028367,0.020153,0.018665,0.012889,0.007559,0.003951,0.003824,0.001145,0.000931,0.000693,1
67,'2017/11/20 19:45:15:601',1,0.00718,0.013861,0.023418,0.034047,0.039868,0.018864,0.036132,0.093293,0.0725,0.026886,0.03938,0.075509,0.078327,0.045026,0.034209,0.027382,0.016771,0.016823,0.010657,0.004445,0.002,0.002733,0.001153,0.000557,0.00038,1
68,'2017/11/20 19:45:15:601',1,0.010964,0.023788,0.031294,0.032279,0.050815,0.027011,0.02936,0.102061,0.06532,0.028902,0.029672,0.066462,0.072271,0.039482,0.038182,0.021196,0.010371,0.01099,0.008193,0.002491,0.00109,0.001209,0.00086,0.000435,0.000247,1
69,'2017/11/20 19:45:15:624',1,0.009902,0.03627,0.028003,0.034494,0.032514,0.023782,0.031747,0.059214,0.054079,0.022664,0.02212,0.036773,0.048648,0.035791,0.022929,0.014928,0.007744,0.007641,0.008078,0.001803,0.001057,0.001059,0.000591,0.000415,0.000216,1
70,'2017/11/20 19:45:15:624',1,0.009294,0.020488,0.02723,0.029748,0.027935,0.011759,0.016603,0.03243,0.031083,0.022942,0.027324,0.032981,0.042945,0.038794,0.028147,0.011151,0.004937,0.005684,0.004502,0.001137,0.00083,0.0007,0.000398,0.000353,0.000214,1
71,'2017/11/20 19:45:15:647',1,0.011948,0.029754,0.033908,0.039784,0.030464,0.017803,0.011615,0.021873,0.01818,0.017238,0.017707,0.024589,0.030636,0.022877,0.01697,0.008474,0.003208,0.003427,0.002461,0.001055,0.000984,0.000487,0.000353,0.000337,0.000208,1
72,'2017/11/20 19:45:15:648',1,0.005416,0.048361,0.052077,0.035296,0.019064,0.011785,0.008254,0.008971,0.015301,0.010603,0.007306,0.015636,0.034605,0.011416,0.011187,0.00558,0.001871,0.002763,0.001489,0.000777,0.000989,0.000526,0.00037,0.000342,0.000179,1
73,'2017/11/20 19:45:15:670',1,0.004214,0.032095,0.049625,0.032611,0.0168,0.014243,0.005932,0.015189,0.019338,0.00732,0.003988,0.02074,0.028562,0.011023,0.00921,0.004367,0.001976,0.001714,0.001243,0.000902,0.000605,0.000454,0.000337,0.000324,0.000188,1
74,'2017/11/20 19:45:15:671',1,0.007294,0.035344,0.033283,0.027544,0.020149,0.008286,0.003659,0.010074,0.012021,0.004688,0.006809,0.008849,0.013188,0.008524,0.008244,0.003086,0.001468,0.001274,0.000992,0.000766,0.000545,0.000436,0.000305,0.000304,0.000177,1
75,'2017/11/20 19:45:15:694',1,0.007475,0.023784,0.02991,0.017866,0.023368,0.011819,0.005874,0.01053,0.013629,0.003736,0.004638,0.008568,0.009205,0.005628,0.005821,0.001737,0.001219,0.001158,0.000817,0.000799,0.000466,0.000428,0.000338,0.0004,0.000168,1
76,'2017/11/20 19:45:15:694',1,0.007456,0.040415,0.041263,0.016617,0.022149,0.018956,0.007477,0.008392,0.01435,0.004185,0.003049,0.007134,0.011218,0.005548,0.004692,0.001631,0.001386,0.001352,0.000798,0.000878,0.000506,0.000447,0.000376,0.000458,0.000197,1
77,'2017/11/20 19:45:15:717',1,0.002693,0.02281,0.029875,0.018763,0.024904,0.010908,0.006093,0.012862,0.005094,0.002742,0.00405,0.003678,0.007044,0.003687,0.0048,0.001313,0.001191,0.000957,0.000954,0.000656,0.00048,0.000346,0.000365,0.00035,0.00017,1
78,'2017/11/20 19:45:15:717',1,0.003838,0.018796,0.041136,0.022894,0.018409,0.009083,0.006648,0.009203,0.005438,0.002726,0.003444,0.002516,0.005937,0.00413,0.005372,0.001031,0.0013,0.00084,0.000929,0.000668,0.000435,0.000333,0.000337,0.000302,0.000163,1
